time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll,dB,Weight,Reps,RPE,Set,Lift,Order
2026-03-27T04:28:54.360Z,-0.134,-0.9172,0.3771,0.0124,0.0205,0.0256,0.0053,-0.0017,-0.0038,-29.69,66.33,-160.74,43.09,95,8,6,4,Bench,1
2026-03-27T04:28:54.369Z,-0.1383,-0.9159,0.3793,0.0535,0.0014,-0.0032,0.0053,-0.0004,-0.0017,-29.69,66.33,-160.74,43.09,95,8,6,4,Bench,1
2026-03-27T04:28:54.381Z,-0.1385,-0.917,0.3815,0.0577,0.0082,-0.0152,0.0031,-0.0018,-0.0056,-29.69,66.33,-160.74,48.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.387Z,-0.1393,-0.917,0.3831,0.0577,0.0082,-0.0152,0.0031,-0.0018,-0.0056,-29.69,66.33,-160.74,48.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.399Z,-0.1392,-0.9162,0.3824,0.0693,0.0101,-0.0365,0.0026,-0.0026,-0.0048,-29.69,66.32,-160.74,48.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.409Z,-0.1388,-0.9153,0.3821,0.0629,-0.0058,-0.0312,0.0043,-0.0027,-0.0029,-29.69,66.32,-160.74,48.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.420Z,-0.1382,-0.9156,0.3823,0.0587,-0.0061,-0.0271,0.001,-0.0031,-0.0039,-29.68,66.32,-160.74,48.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.435Z,-0.1373,-0.9166,0.3833,0.0514,0.0059,-0.0409,-0.0012,-0.0016,-0.0028,-29.68,66.32,-160.74,48.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.439Z,-0.1372,-0.9166,0.382,0.0491,0.0082,-0.037,0.0024,-0.0029,-0.0051,-29.68,66.32,-160.74,48.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.448Z,-0.1354,-0.9173,0.3799,0.0354,0.0091,-0.0105,0.003,-0.0008,-0.0058,-29.68,66.32,-160.74,48.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.459Z,-0.1341,-0.9182,0.3794,0.0217,0.0259,-0.0083,0.0011,0.0005,-0.0023,-29.68,66.32,-160.74,48.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.469Z,-0.1325,-0.9174,0.3783,0.0074,0.0124,0.006,0.0008,0.0002,-0.0082,-29.68,66.32,-160.74,48.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.480Z,-0.1316,-0.9177,0.3775,-0.0056,0.0212,0.0091,0.002,-0.0026,-0.0029,-29.68,66.32,-160.74,59.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.487Z,-0.1316,-0.9177,0.3775,-0.0056,0.0212,0.0091,0.0058,-0.0029,-0.0038,-29.68,66.32,-160.74,59.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.499Z,-0.1282,-0.9185,0.3779,-0.0422,0.0193,0.0195,0.0048,-0.0011,-0.0041,-29.68,66.32,-160.74,59.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.508Z,-0.1279,-0.9189,0.3781,-0.0421,0.0319,0.0049,0.0026,-0.0005,-0.0034,-29.68,66.33,-160.74,59.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.517Z,-0.1279,-0.9189,0.3781,-0.0421,0.0319,0.0049,0.0062,0.0005,-0.0026,-29.68,66.33,-160.74,59.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.530Z,-0.1265,-0.9187,0.3776,-0.0559,0.0251,0.0167,0.0063,0.0012,-0.0035,-29.68,66.33,-160.74,59.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.539Z,-0.127,-0.9177,0.3812,-0.0547,0.025,-0.0224,0.0034,-0.0021,-0.0031,-29.68,66.33,-160.74,59.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.548Z,-0.127,-0.9183,0.3799,-0.0535,0.0225,-0.0097,0.0043,-0.003,-0.0037,-29.68,66.32,-160.74,59.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.558Z,-0.1278,-0.9171,0.3824,-0.0491,0.0197,-0.0207,0.0054,-0.0031,0.0006,-29.68,66.32,-160.74,59.47,95,8,6,4,Bench,1
2026-03-27T04:28:54.568Z,-0.1281,-0.9174,0.384,-0.0473,0.0086,-0.044,0.003,-0.0026,-0.0054,-29.68,66.32,-160.74,56.37,95,8,6,4,Bench,1
2026-03-27T04:28:54.582Z,-0.1295,-0.9174,0.3834,-0.0332,0.0199,-0.0433,0.0013,-0.0019,-0.0032,-29.68,66.32,-160.74,56.37,95,8,6,4,Bench,1
2026-03-27T04:28:54.588Z,-0.131,-0.9168,0.3822,-0.0198,0.013,-0.0367,0.0039,-0.0039,-0.0034,-29.68,66.32,-160.74,56.37,95,8,6,4,Bench,1
2026-03-27T04:28:54.600Z,-0.1318,-0.9168,0.3806,-0.0108,0.0055,-0.0184,0.0023,0.0003,-0.0041,-29.68,66.32,-160.74,56.37,95,8,6,4,Bench,1
2026-03-27T04:28:54.607Z,-0.1318,-0.9168,0.3806,-0.0108,0.0055,-0.0184,0.0026,-0.0031,-0.0036,-29.68,66.32,-160.74,56.37,95,8,6,4,Bench,1
2026-03-27T04:28:54.621Z,-0.1348,-0.9159,0.3796,0.0194,0.0026,-0.0094,0.0028,-0.0051,-0.0065,-29.68,66.32,-160.74,56.37,95,8,6,4,Bench,1
2026-03-27T04:28:54.635Z,-0.1361,-0.9171,0.3775,0.0314,0.0087,0.0059,0.0007,-0.0016,-0.003,-29.68,66.32,-160.74,56.37,95,8,6,4,Bench,1
2026-03-27T04:28:54.638Z,-0.1363,-0.9166,0.3765,0.037,0.0106,0.0274,0.0035,-0.0019,-0.0033,-29.68,66.32,-160.74,56.37,95,8,6,4,Bench,1
2026-03-27T04:28:54.648Z,-0.1381,-0.9153,0.3775,0.0459,-0.0029,0.0168,0.0065,-0.0014,-0.0054,-29.68,66.32,-160.74,56.37,95,8,6,4,Bench,1
2026-03-27T04:28:54.657Z,-0.1381,-0.9153,0.3775,0.0459,-0.0029,0.0168,0.0048,-0.0013,-0.0046,-29.68,66.32,-160.74,56.37,95,8,6,4,Bench,1
2026-03-27T04:28:54.668Z,-0.1391,-0.9175,0.3778,0.0646,0.0205,0.0192,0.0035,-0.0033,-0.006,-29.68,66.32,-160.74,56.37,95,8,6,4,Bench,1
2026-03-27T04:28:54.680Z,-0.1389,-0.9165,0.3793,0.0628,0.0056,0.0035,0.0038,-0.0024,-0.0053,-29.68,66.32,-160.74,56.37,95,8,6,4,Bench,1
